Log: 2023/12/27 12:52:41 log.go:21: Wfuzz-ttoc is Starting...
Log: 2023/12/27 12:52:43 log.go:21: https://example.com/.git/HEAD (404 Not Found)
Log: 2023/12/27 12:52:43 log.go:21: https://example.com/.git/index (404 Not Found)
Log: 2023/12/27 12:52:43 log.go:21: https://example.com/.git (404 Not Found)
Log: 2023/12/27 12:52:43 log.go:21: https://example.com/.git/config (404 Not Found)
Log: 2023/12/27 12:52:43 log.go:21: https://example.com/.git/description (404 Not Found)
Log: 2023/12/27 12:52:43 log.go:21: https://example.com/source (404 Not Found)
Log: 2023/12/27 12:52:43 log.go:21: https://example.com/source.php (404 Not Found)
Log: 2023/12/27 12:52:43 log.go:21: https://example.com/.idea/workspace.xml (404 Not Found)
Log: 2023/12/27 12:52:43 log.go:21: https://example.com/source.php.bak (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/README.MD (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/.source.php.bak (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/source.php.swp (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/README.md (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/README (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/.gitignore (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/.svn/wc.db (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/.svn (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/.svn/entries (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/.hg (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/user.php.bak (404 Not Found)
Log: 2023/12/27 12:52:44 log.go:21: https://example.com/.DS_store (404 Not Found)
Log: 2023/12/27 12:52:45 log.go:21: https://example.com/WEB-INF/web.xml (404 Not Found)
Log: 2023/12/27 12:52:45 log.go:21: https://example.com/WEB-INF/classes (404 Not Found)
Log: 2023/12/27 12:52:45 log.go:21: https://example.com/WEB-INF/src/ (404 Not Found)
Log: 2023/12/27 12:52:45 log.go:21: https://example.com/WEB-INF/lib (404 Not Found)
Log: 2023/12/27 12:52:45 log.go:21: https://example.com/WEB-INF/database.propertie (404 Not Found)
Log: 2023/12/27 12:52:45 log.go:21: https://example.com/CVS/Root (404 Not Found)
Log: 2023/12/27 12:52:45 log.go:21: https://example.com/CVS/Entries (404 Not Found)
Log: 2023/12/27 12:52:45 log.go:21: https://example.com/.bzr/ (404 Not Found)
Log: 2023/12/27 12:52:46 log.go:21: https://example.com/%3f (404 Not Found)
Log: 2023/12/27 12:52:46 log.go:21: https://example.com/%3f~ (403 Forbidden)
Log: 2023/12/27 12:52:46 log.go:21: https://example.com/.%3f.swp (404 Not Found)
Log: 2023/12/27 12:52:46 log.go:21: https://example.com/.%3f.swo (404 Not Found)
Log: 2023/12/27 12:52:46 log.go:21: https://example.com/.%3f.swn (404 Not Found)
Log: 2023/12/27 12:52:46 log.go:21: https://example.com/.%3f.swm (404 Not Found)
Log: 2023/12/27 12:52:46 log.go:21: https://example.com/.%3f.swl (404 Not Found)
Log: 2023/12/27 12:52:46 log.go:21: https://example.com/.viminfo (404 Not Found)
Log: 2023/12/27 12:52:47 log.go:21: https://example.com/_viminfo (404 Not Found)
Log: 2023/12/27 12:52:47 log.go:21: https://example.com/%3f~ (403 Forbidden)
Log: 2023/12/27 12:52:47 log.go:21: https://example.com/%3f~2~ (403 Forbidden)
Log: 2023/12/27 12:52:47 log.go:21: https://example.com/%3f~1~ (403 Forbidden)
Log: 2023/12/27 12:52:47 log.go:21: https://example.com/%3f~3~ (403 Forbidden)
Log: 2023/12/27 12:52:47 log.go:21: https://example.com/%3f.save (404 Not Found)
Log: 2023/12/27 12:52:47 log.go:21: https://example.com/%3f.save1 (404 Not Found)
Log: 2023/12/27 12:52:47 log.go:21: https://example.com/%3f.save2 (404 Not Found)
Log: 2023/12/27 12:52:48 log.go:21: https://example.com/%3f.save3 (404 Not Found)
Log: 2023/12/27 12:52:48 log.go:21: https://example.com/%3f.bak_Edietplus (404 Not Found)
